Phrase,Phrase in dialect,Dialect,They work as ,They are   ,They tend to have the following traits
A positive description of an object/experience,"""this song is good""",Queen's english,"This person might work in a role where they appreciate or critique music, such as a music critic or enthusiast.",They are likely someone who has a discerning taste in music and enjoys sharing their opinions with others.,"This person might be passionate, expressive, and knowledgeable about different genres of music. They might prioritize seeking out new songs and artists and discussing them with others."
A positive description of an object/experience,This song is a good 'un,Northen English Dialect,This person might be praising a particular song or piece of music.,They are expressing appreciation or enjoyment of the music.,This person might be discerning and have good taste in music. They might also be enthusiastic and passionate about their favorite songs or artists.
A positive description of an object/experience,This song sibei nice sia,Singaporean English,This person might be expressing enthusiasm or admiration for a song.,They are praising the quality or appeal of a song.,This person might be passionate and expressive about their interests or preferences. They might also have discerning taste and appreciate quality music.
A positive description of an object/experience,This tune is bare sick,Multicultural London English,This person might work in a context where music is discussed or enjoyed.,They are praising a song or piece of music.,"This person might be enthusiastic and passionate about music, appreciating various genres and styles."
Agreement,"""yes, I agree""",Queen's english,This person might work in a collaborative environment where consensus-building is important.,They are likely someone who values harmony and seeks to align their opinions with those of others.,"This person might be diplomatic, cooperative, and open-minded. They might prioritize finding common ground and fostering positive relationships with their peers."
Agreement,"yeah, mate",Northen English Dialect,This person might be agreeing or affirming with someone in a friendly or familiar manner.,They are expressing camaraderie or solidarity.,"This person might be sociable and loyal, forming strong bonds with friends or peers. They might also be supportive and reliable, offering assistance or encouragement when needed."
Agreement,can lah,Singaporean English,This person might be confirming agreement or compliance.,They are expressing consent or affirmation.,"This person might be agreeable and cooperative, willing to go along with others' suggestions. They might also be positive and accommodating in their attitude."
Agreement,yeah blud,Multicultural London English,This person might work in an urban or informal setting.,They are addressing someone familiarly.,"This person might be familiar with urban culture and slang, using informal language in conversation."
An expression for a lot of something,there are a lot of people here.,Queen's english,This person might be commenting on the crowd or social environment.,They are observing the presence of many individuals in a specific location.,"This person might be sociable and outgoing, noticing the dynamics of social gatherings. They might also be comfortable in busy or crowded spaces."
An expression for disappointment ,that is rubbish.,Queen's english,This person might be evaluating the quality or value of something.,They are expressing dissatisfaction or disappointment.,This person might be critical or discerning in their judgments. They might also have clear preferences or expectations regarding what meets their standards.
An expression for disappointment ,neither use nor ornament,Northen English Dialect,This person might be expressing that something is useless or pointless.,They are using idiomatic language or a proverbial expression.,This person might be pragmatic or practical in their assessments. They might also value efficiency and utility in objects or situations.
An expression for disappointment ,walao eh,Singaporean English,This person might be expressing frustration or disbelief.,They are reacting strongly to a frustrating or irritating situation.,"This person might be expressive and animated, showing strong emotions in their reactions. They might also be resilient and adaptable, able to cope with challenging circumstances."
An expression for disappointment ,that's mad peak,Multicultural London English,This person might work in a casual or social environment.,They are describing a situation as unfortunate or unfavorable.,"This person might be empathetic or sympathetic, acknowledging unfortunate circumstances or events."
An expression for exerting effort ,"""getting the bus is a lot of effort""",Queen's english,This person might have a long commute or rely on public transportation for their daily activities.,They are likely someone who values efficiency and might find the process of using public transportation cumbersome.,"This person might be practical, time-conscious, and prefer convenience in their daily routines."
An expression for exerting effort ,getting the bus is such a slog,Northen English Dialect,This person might be complaining about the difficulty or inconvenience of using public transportation.,They are expressing frustration or annoyance with the bus system.,"This person might be practical and resourceful, seeking efficient solutions to everyday challenges. They might also value convenience and prefer modes of transportation that offer comfort and reliability."
An expression for exerting effort ,catch bus damn shiong,Singaporean English,This person might be describing a challenging or stressful situation.,They are expressing the difficulty of catching a bus.,"This person might be resilient and adaptable, coping with demanding or hectic circumstances. They might also be resourceful and determined in overcoming obstacles."
An expression for exerting effort ,"Nah man, getting the bus is long tings",Multicultural London English,This person might work in a casual or social environment.,They are expressing reluctance or inconvenience.,"This person might be resourceful or pragmatic, seeking efficient or alternative transportation options."
An expression for getting drunk,are you drunk?,Queen's english,This person might be questioning someone's behavior or speech.,They are expressing suspicion or concern about the other person's sobriety.,"This person might be observant and perceptive, noticing changes in behavior or demeanor. They might also be direct or blunt in their communication style."
An expression for getting drunk,are you bladdered?,Northen English Dialect,This person might be asking if someone is drunk in a colloquial manner.,They are using informal language or slang.,This person might be observant or perceptive about others' behavior. They might also be straightforward or direct in their questioning.
An expression for something that's troublesome,"""That's too much trouble""",Queen's english,This person might be expressing reluctance or unwillingness to engage in a particular activity due to perceived inconvenience or difficulty.,They are likely someone who values efficiency and prioritizes tasks based on effort versus benefit.,"This person might be practical, resourceful, and prefer to invest time and energy in activities that offer meaningful returns."
An expression for something that's troublesome,ooh bloomin 'eck,Northen English Dialect,This person might be expressing surprise or exasperation in a colloquial manner.,They are using regional dialect or slang.,This person might be expressive and animated in their speech. They might also use colorful language to convey their emotions.
